#K-Path     Band-1    Band-2    Band-3    Band-4      ...     Band-n
  0.0000  -13.3958   -0.2508   -0.2508   -0.2508    3.0773    3.0773    3.0773    3.8192    8.4680
  0.0547  -13.3850   -0.3205   -0.2923   -0.2923    3.0500    3.1316    3.1316    3.8861    8.5150
  0.1094  -13.3526   -0.5163   -0.4088   -0.4088    2.9711    3.2865    3.2865    4.0711    8.2215
  0.1641  -13.2986   -0.8086   -0.5819   -0.5819    2.8490    3.5234    3.5234    4.3351    7.8821
  0.2188  -13.2231   -1.1673   -0.7913   -0.7913    2.6945    3.8219    3.8219    4.6255    7.5323
  0.2735  -13.1261   -1.5697   -1.0208   -1.0208    2.5187    4.1651    4.1651    4.8704    7.2493
  0.3282  -13.0078   -2.0005   -1.2584   -1.2584    2.3313    4.5405    4.5405    4.9690    7.1375
  0.3829  -12.8683   -2.4497   -1.4960   -1.4960    2.1405    4.8549    4.9400    4.9400    7.2679
  0.4376  -12.7078   -2.9110   -1.7280   -1.7280    1.9525    4.5775    5.3569    5.3569    7.5922
  0.4924  -12.5265   -3.3799   -1.9505   -1.9505    1.7724    4.2232    5.7871    5.7871    8.0249
  0.5471  -12.3246   -3.8535   -2.1606   -2.1606    1.6040    3.8449    6.2276    6.2277    8.5133
  0.6018  -12.1023   -4.3294   -2.3565   -2.3565    1.4503    3.4686    6.6759    6.6759    9.0299
  0.6565  -11.8600   -4.8057   -2.5365   -2.5365    1.3137    3.1075    7.1305    7.1306    9.5605
  0.7112  -11.5981   -5.2808   -2.6996   -2.6996    1.1961    2.7686    7.5903    7.5904   10.0959
  0.7659  -11.3169   -5.7530   -2.8451   -2.8451    1.0990    2.4558    8.0545    8.0547   10.6293
  0.8206  -11.0169   -6.2208   -2.9721   -2.9721    1.0240    2.1717    8.5227    8.5227   11.1555
  0.8753  -10.6987   -6.6828   -3.0803   -3.0803    0.9722    1.9170    8.9942    8.9943   11.6321
  0.9300  -10.3628   -7.1375   -3.1692   -3.1692    0.9444    1.6925    9.4679    9.4679   11.8298
  0.9847  -10.0099   -7.5837   -3.2386   -3.2386    0.9418    1.4982    9.9412    9.9412   12.2263
  1.0394   -9.6408   -8.0198   -3.2883   -3.2883    0.9651    1.3338   10.4067   10.4067   12.6208
  1.0941   -9.2563   -8.4447   -3.3182   -3.3182    1.0153    1.1989   10.8348   10.8354   12.1632
  1.1488   -8.8573   -8.8572   -3.3282   -3.3282    1.0930    1.0930   11.0662   11.0706   11.9248
  1.1488   -8.8573   -8.8572   -3.3282   -3.3282    1.0930    1.0930   11.0662   11.0706   11.9248
  1.2063   -8.8534   -8.8533   -3.3604   -3.3604    1.1545    1.1545   10.9531   10.9540   11.7891
  1.2637   -8.8419   -8.8419   -3.4506   -3.4506    1.3327    1.3327   10.5706   10.5712   11.6230
  1.3212   -8.8238   -8.8238   -3.5828   -3.5828    1.6123    1.6123    9.9889    9.9892   11.5538
  1.3786   -8.8005   -8.8005   -3.7377   -3.7377    1.9746    1.9746    9.3286    9.3286   11.5301
  1.4360   -8.7740   -8.7740   -3.8974   -3.8974    2.4027    2.4027    8.6433    8.6434   11.5236
  1.4935   -8.7467   -8.7467   -4.0471   -4.0471    2.8823    2.8823    7.9550    7.9550   11.5239
  1.5509   -8.7214   -8.7214   -4.1752   -4.1752    3.4014    3.4014    7.2759    7.2759   11.5270
  1.6084   -8.7008   -8.7008   -4.2730   -4.2730    3.9461    3.9461    6.6182    6.6182   11.5303
  1.6658   -8.6873   -8.6873   -4.3342   -4.3342    4.4839    4.4839    6.0132    6.0132   11.5327
  1.7232   -8.6827   -8.6826   -4.3550   -4.3550    4.8115    4.8115    5.6632    5.6632   11.5336
  1.7232   -8.6827   -8.6826   -4.3550   -4.3550    4.8115    4.8115    5.6632    5.6632   11.5336
  1.7774   -8.9238   -8.4470   -4.5119   -4.1608    4.6070    4.8973    5.5767    5.9106   11.0473
  1.8316   -9.1630   -8.2266   -4.6205   -3.9388    4.3879    4.7712    5.7431    6.2150   10.4416
  1.8857   -9.3950   -8.0330   -4.6680   -3.6967    4.1840    4.5550    6.0397    6.5473    9.7679
  1.9399   -9.6159   -7.8778   -4.6425   -3.4417    4.0052    4.3241    6.3901    6.8976    9.0613
  1.9940   -9.8230   -7.7688   -4.5360   -3.1804    3.8564    4.0974    6.7736    7.2604    8.3450
  2.0482  -10.0140   -7.7069   -4.3485   -2.9193    3.7409    3.8790    7.1818    7.6299    7.6361
  2.1023  -10.1877   -7.6852   -4.0882   -2.6650    3.6609    3.6687    6.9377    7.6263    7.9989
